OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length,lon,lat
115723,43352,GBT,Somerville Intermediate And Howick College to Redcastle Dr,433,School Bus,6471.13550535625,174.9393500003,-36.9130599992122
115724,43452,GBT,Somerville Intermediate To Kilkenny Drive,434,School Bus,5138.973334902312,174.9393500003,-36.9130599992122
115725,43453,GBT,Dannemora To Somerville Intermediate And Howick College,434,School Bus,6149.363734731076,174.9393500003,-36.9130599992122
115726,43551,GBT,Dannemora To Somerville Intermediate,435,School Bus,4435.900394559913,174.9280200005,-36.9188099993984
115727,43552,GBT,Somerville Intermediate To Dannemora,435,School Bus,3651.152410749772,174.9393500003,-36.9130599992122
115728,43651,GBT,Flat Bush To Somerville Intermediate And Howick College,436,School Bus,8515.253064496417,174.9393500003,-36.9130599992122
115729,43652,GBT,Somerville Intermediate To Flat Bush,436,School Bus,7516.530040733241,174.9393500003,-36.9130599992122
115730,43752,GBT,Cockle Bay School To Flat Bush,437,School Bus,8731.25070575069,174.938879999498,-36.904909998953
115731,43851,BAYES,Red Beach To Whangaparaoa College,438,School Bus,10172.941036961183,174.693749999778,-36.6024499994686
115732,43852,BAYES,Whangaparaoa College To Red Beach,438,School Bus,9914.075411416354,174.694800000025,-36.6027799988102
115733,43952,GBT,Our Lady Star Of The Sea To Botany Downs,439,School Bus,9365.259729845566,174.938439999639,-36.8943699993184
115734,44051,HE,Bucklands Beach To Sancta Maria,440,School Bus,15201.305407717178,174.913840000514,-36.8819099988975
115735,44052,HE,Sancta Maria To Bucklands Beach,440,School Bus,15152.563176257025,174.914159999649,-36.8841399994357
115736,44151,HE,Howick To Sancta Maria,441,School Bus,11913.674969328747,174.92887999997,-36.8924899992214
115737,44152,HE,Sancta Maria To Howick,441,School Bus,11902.514170930139,174.930479999639,-36.893219999546
115738,44251,HE,Cockle Bay To Sancta Maria,442,School Bus,12490.21470387597,174.93820000055,-36.8942899989894
115739,44252,HE,Sancta Maria To Cockle Bay,442,School Bus,12535.828354916337,174.938439999639,-36.8943699993184
115740,44353,HE,Manukau Bus Station To Sancta Maria,443,School Bus,6134.413706674465,174.906160000031,-36.9661599987119
115741,44354,HE,Sancta Maria To Manukau Bus Station,443,School Bus,5973.990672589557,174.904650000356,-36.9595499989331
115742,44453,HE,Manukau Bus Station To Howick Intermediate,444,School Bus,14328.570228479122,174.924929999717,-36.9050799988474
115743,44454,HE,Howick Intermediate To Manukau Bus Station,444,School Bus,14145.42345987362,174.916959999825,-36.8991799993846
115744,44554,HE,Howick Intermediate To Chapel Rd,445,School Bus,8028.273861088146,174.916959999825,-36.8991799993846
115745,44954,NZB,Westlake Boys To Hibiscus Coast Station,449,School Bus,20963.36036377251,174.667010000378,-36.6240599986858
115746,45451,RTH,Conifer Grove to Rosehill Schools,454,School Bus,12068.696308757724,174.925750000107,-37.0478099990289
115747,45456,RTH,Rosehill College to Conifer Grove,454,School Bus,10571.891547713003,174.936739999785,-37.0766799993538
115748,45554,RTH,Rosehill Intermediate to Manurewa Station via Conifer Grove,455,School Bus,11993.379429445451,174.90060000029,-37.025269998983
115749,45651,RTH,Wattle Downs to Rosehill Schools,456,School Bus,15834.10643654545,174.890029999868,-37.0274099991823
115750,45652,RTH,Rosehill College to Manurewa via Wattles Down,456,School Bus,15515.24985827948,174.891419999724,-37.030139999167
115751,45752,RTH,Rosehill College to Waitaia Shores,457,School Bus,9269.200845597696,174.925499999948,-37.0476499990519
115752,45852,RTH,Rosehill College to Manurewa,458,School Bus,8541.41385065358,174.90060000029,-37.025269998983
115753,45853,RTH,Manurewa Station to Rosehill Schools,458,School Bus,13448.069927112534,174.895790000302,-37.0236699994965
115754,45951,RTH,Papakura to De La Salle College,459,School Bus,19337.38077749402,174.842419999802,-36.9738999991052
115755,45952,RTH,De La Salle College to Papakura,459,School Bus,20811.11474455452,174.832990000521,-36.9621299994227
115756,46051,NZB,Otahuhu Town Centre to Ellerslie Penrose Schools,460,School Bus,12863.123454631814,174.805820000521,-36.8966699993758
115757,46153,RTH,Middlemore Hospital to Papatoetoe Intermediate Via Wallace R,461,School Bus,9867.960466174136,174.838029999533,-36.9610599989555
115758,46154,RTH,Papatoetoe Intermediate to Middlemore Hospital Via Wallace R,461,School Bus,8904.036498655527,174.854060000472,-36.9611099995132
115759,46253,RTH,Papatoetoe to Papatoetoe Intermediate,462,School Bus,9815.247482636536,174.854060000472,-36.9611099995132
115760,46254,RTH,Papatoetoe Intermediate to Papatoetoe,462,School Bus,6396.823472768376,174.837089999562,-36.9823299988907
115761,46353,RTH,Puhinui Rd to Papatoetoe Schools,463,School Bus,7137.264064185403,174.854060000472,-36.9611099995132
115828,46354,RTH,Papatoetoe Intermediate to Puhinui,463,School Bus,6454.813063109719,174.854060000472,-36.9611099995132
115829,46454,RTH,Papatoetoe Intermediate to Clover Park,464,School Bus,5410.444403103951,174.854060000472,-36.9611099995132
115830,46554,RTH,Papatoetoe High to Papatoetoe Via Puhinui Rd,465,School Bus,6496.038639409231,174.87171999994,-36.9780199992281
115831,46652,NZB,Marcellin College To Sylvia Park,466,School Bus,8903.585749107018,174.83045000011,-36.9072999986921
115832,46754,NZB,One Tree Hill College to Otahuhu,467,School Bus,8902.900144637268,174.804970000155,-36.90358999891
115833,46951,RTH,Papakura to McAuley High,469,School Bus,23650.09321890301,174.846890000458,-36.9440599991397
115834,46952,RTH,McAuley High to Papakura,469,School Bus,23149.991941334414,174.846890000458,-36.9440599991397
115835,47772,RTH,Green Bay high School to Glengarry Shops,477,School Bus,5547.639113892027,174.649250000471,-36.9196499989612
115836,48152,NZB,Baradene College to Newmarket Station,481,School Bus,3884.190984033493,174.80020999974,-36.8670299992334
115837,50052,NZB,St Marys College To Pt Chevalier Beach,500,School Bus,6691.959062194282,174.740840000026,-36.8452899990302
115838,50151,NZB,Britomart To St Marys College,501,School Bus,3483.437375632366,174.767779999721,-36.8451999994387
115839,50152,NZB,St Marys College To Britomart,501,School Bus,2573.8410248117107,174.759599999782,-36.8456599993342
115840,50551,NZB,Ponsonby To Motions Rd Opp Pasadena School,505,School Bus,5637.629338628407,174.743919999775,-36.8483299992007
115841,50552,NZB,Western Springs To Ponsonby,505,School Bus,6740.579787570488,174.743000000036,-36.84795999943
115842,51051,NZB,Lynfield To Auckland Grammar And St Peters College,510,School Bus,11785.260721458062,174.769180000232,-36.8695799987593
115843,51052,NZB,St Peters College And Auckland Grammar To Lynfield,510,School Bus,12205.355041222245,174.770099999445,-36.8674999991011
115844,51054,NZB,Auckland Grammar To Lynfield,510,School Bus,11910.919943604977,174.768979999837,-36.8699199989767
115845,51151,NZB,Lynfield To Waikowhai Intermediate,511,School Bus,5230.393418991624,174.739279999591,-36.924799999475
115846,51152,NZB,Waikowhai Intermediate To Lynfield,511,School Bus,5797.230763843524,174.74274999944,-36.9236299990265
115847,51252,NZB,Epsom Girls Grammar To Lynfield,512,School Bus,13150.525013130673,174.773069999593,-36.8770299991235
115848,51351,NZB,St Lukes To Epsom Schools,513,School Bus,8047.469622161931,174.749930000204,-36.8791399988276
115849,51352,NZB,Epsom Schools To St Lukes,513,School Bus,8864.273772836308,174.751779999435,-36.876159998726
115850,51451,NZB,Remuera To Auckland Grammar Via Lillington Rd,514,School Bus,7850.71787951964,174.774690000225,-36.866919998982
115851,51452,NZB,Auckland Grammar To Remuera Via Lillington Rd,514,School Bus,7878.712623448532,174.771371513024,-36.8662124329173
115852,51551,NZB,Remuera To Auckland Grammar Via Portland Rd,515,School Bus,6881.619173116074,174.800039999509,-36.8648699990767
115853,51552,NZB,Auckland Grammar To Remuera Via Portland Rd,515,School Bus,6890.7139541642255,174.796209999629,-36.8649299988058
115854,51651,NZB,Parnell To Auckland Grammar Via Epsom Schools,516,School Bus,10629.97418650727,174.784080000058,-36.8487199986988
115855,51652,NZB,Auckland Grammar To Parnell Via Epsom Schools,516,School Bus,10208.958727591045,174.785790000322,-36.8504999993692
115856,51951,NZB,Ellerslie To Baradene,519,School Bus,5165.496955828178,174.799720000164,-36.8697299989176
115857,52051,NZB,Mt Roskill Shops To Epsom And Remuera Schools,520,School Bus,12604.913869470101,174.800550000155,-36.8641799988333
115858,52052,NZB,Remuera And Epsom Schools To Mt Roskill Shops,520,School Bus,12774.879338625016,174.800039999509,-36.8648699990767
115859,52151,NZB,Glen Innes To Epsom Schools,521,School Bus,14399.83871023972,174.833710000033,-36.8729699988272
115860,52152,NZB,Epsom Schools To Glen Innes,521,School Bus,12840.042890459468,174.831429999549,-36.8729799988076
115861,52251,NZB,St Heliers to Epsom Schools,522,School Bus,15753.940088829271,174.852519999589,-36.8506199990533
115862,52252,NZB,Epsom Schools To St Heliers,522,School Bus,15854.34555255612,174.85940000006,-36.8539899987615
115863,52261,GBT,St Heliers To Epsom Schools,522,School Bus,15753.940088829271,174.852519999589,-36.8506199990533
115864,52262,GBT,Epsom Schools to St Heliers,522,School Bus,15854.34555255612,174.85940000006,-36.8539899987615
115865,52351,NZB,Glendowie to Epsom Schools,523,School Bus,20812.65026740579,174.874109999622,-36.8475999988751
115866,52352,NZB,Epsom Schools to Glendowie,523,School Bus,18861.212385803006,174.873419999533,-36.8474199993291
